Data;IDProduto;Categoria;ValorVenda;CustoProduto
05/04/2026;POO1 ;Eletrônicos;1250.00;790.00
12/04/2026;POO3 ;Casa;320.00;170.00
16/04/2026;POO4 ;Esportes;380.00;200.00
24/04/2026;POO2 ;Livros;80.00;35.00
02/05/2026;POO2 ;Livros;90.00;40.00
09/05/2026;POO1 ;Eletrônicos;1100.00;700.00
13/05/2026;POO3 ;Casa;480.00;220.00
14/05/2026;POO3 ;Casa;120.00;55.00
28/05/2026;POO4 ;Esportes;270.00;110.00
04/06/2026;POO3 ;Casa;250.00;120.00
12/06/2026;POO4 ;Esportes;300.00;180.00
16/06/2026;POO1 ;Eletrônicos;1400.00;880.00
22/06/2026;POO2 ;Livros;120.00;50.00
